survey,item,variable,values,question_text,response_categories,group
aes1993,right4a,h3,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes1993,care5,h1p4,c(1:5),I don't think public officials care much what people like me think,1 strongly agree / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 strongly disagree,eff
aes1993,say5,h1p8,c(1:5),People like me don't have any say about what the government does,1 strongly agree / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 strongly disagree,eff
aes1993,big3,h9fed,c(1:3),Would you say the Federal government is run by a few big interests looking out for themselves or that it is run for the benefit of all the people?,1 run by a few big interests / 2 depends / 3 run for all the people,eff
aes1996,right4a,c5,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes1996,care5d,b16p1,c(5:1),Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes1998,right4a,c5,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes1998,care5d,b19p1,c(5:1),Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes1998,big5,d12,c(1:5),"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2001,right4a,c8,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2001,care5d,b23,c(5:1),Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2001,big5,c9,c(1:5),"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2004,right4a,c8,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2004,care5d,b23,c(5:1),Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2004,big5,c9,c(1:5),"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2007,right4a,c8,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2007,care5d,b24,c(5:1),Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2007,big5,c9,c(1:5),"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2010,right4a,c9,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2010,care5d,b17,c(5:1),Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2010,big5,c10,c(1:5),"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2013,right4a,c5,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2013,care5d,b15,c(5:1),Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2013,big5,c6,c(1:5),"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2016,right4a,c6,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2016,care5d,b16,c(5:1),Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2016,big5,c7,c(1:5),"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2019,right4a,c6,c(1:4),"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2019,care5d,b16,c(5:1),Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2019,big5,c7,c(1:5),"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
afrob2,trust_parl4,q43b,c(0:3),"How much do you trust each of the following, or haven’t you heard enough about them to say: Parliament?",0 not at all / 1 a little / 2 somewhat / 3 a lot,trust
afrob2,right4b,q50a,c(0:3),"How much of the time do you think elected leaders, like parliamentarians or local councilors, try their best: To look after the interests of people like you?",0 never / 1 some of the time / 2 most of the time / 3 always,eff
afrob2,say4a,q50b,c(0:3),"How much of the time do you think elected leaders, like parliamentarians or local councilors, try their best: To listen to what people like you have to say?",0 never / 1 some of the time / 2 most of the time / 3 always,eff
afrob3,trust_parl4,q55b,c(0:3),"How much do you trust each of the following, or haven’t you heard enough about them to say: Parliament?",0 not at all / 1 a little / 2 somewhat / 3 a lot,trust
afrob4,trust_parl4,q49b,c(0:3),"How much do you trust each of the following, or haven’t you heard enough about them to say: Parliament?",0 not at all / 1 a little / 2 somewhat / 3 a lot,trust
afrob5,trust_parl4,q59b,c(0:3),"How much do you trust each of the following, or haven’t you heard enough about them to say: Parliament?",0 not at all / 1 a little / 2 somewhat / 3 a lot,trust
afrob6,trust_parl4,q52b,c(0:3),"How much do you trust each of the following, or haven’t you heard enough about them to say: Parliament?",0 not at all / 1 a little / 2 somewhat / 3 a lot,trust
afrob6,right5a,q50,c(1:5),"Do you think that the leaders of political parties in this country are more concerned with serving the interests of the people, or more concerned with advancing their own political ambitions, or haven’t you heard enough to say?",1 more to serve their own political ambitions – strongly agree / 2 more to serve their own political ambitions - agree / 3 neither agree nor disagree / 4 more to serve the people – agree / 5 more to serve the people – strongly agree,eff
afrob7,trust_parl4,q43b,c(0:3),"How much do you trust each of the following, or haven’t you heard enough about them to say: Parliament?",0 not at all / 1 a little / 2 somewhat / 3 a lot,trust
afrob8,trust_parl4,q41b,c(0:3),"How much do you trust each of the following, or haven’t you heard enough about them to say: Parliament?",0 not at all / 1 a little / 2 somewhat / 3 a lot,trust
allbus,care4d,pe01,c(1:4),Politicians don't care much about what people like me think ,1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,eff
allbus,say4,pe03,c(1:4),"However you look at it, people like me have no influence on what the government does",1 completely agree / 2 tend to agree / 3 tend to disagree / 4 completely disagree,eff
amb_argentina2018,corrupt_gov4a,exc7,c(1:4),"Taking into account your own experience or what you have heard, corruption among public officials is",1 very common / 2 common / 3 uncommon / 4 very uncommon,corrupt
amb_argentina2018,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_argentina2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_argentina2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_argentina2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_bahamas2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_bahamas2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_belize2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_belize2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_bolivia2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_bolivia2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_bolivia2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_brazil2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_brazil2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_brazil2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_canada2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_canada2021,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_canada2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_canada2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_chile2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_chile2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_chile2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_colombia2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_colombia2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_colombia2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_combo,rep_gov4,epn3a,c(4:1),How much does the Central Government represent your interests and benefits you as a citizen?,1 a lot / 2 some / 3 a little / 4 not at all,eff
amb_combo,rep_leg4,epn3b,c(4:1),How much do the Representatives of the Legislature represent your interests and benefit you as a citizen?,1 a lot / 2 some / 3 a little / 4 not at all,eff
amb_combo,rep_parties4,epp1,c(4:1),"Thinking about political parties in general, to what extent do [nationality] political parties represent their voters well? ",1 a lot / 2 some / 3 a little / 4 not at all,eff
amb_combo,parties7,epp3,c(1:7),To what extent do political parties listen to people like you? ,1 none / 23456 / 7 a lot,eff
amb_combo,corrupt_gov4a,exc7,c(1:4),"Taking into account your own experience or what you have heard, corruption among public officials is",1 very common / 2 common / 3 uncommon / 4 very uncommon,corrupt
amb_combo,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_costarica2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_costarica2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_costarica2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_dominicanrepublic2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_dominicanrepublic2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_dominicanrepublic2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_ecuador2018,corrupt_gov4a,exc7,c(1:4),"Taking into account your own experience or what you have heard, corruption among public officials is",1 very common / 2 common / 3 uncommon / 4 very uncommon,corrupt
amb_ecuador2018,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_ecuador2018,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_ecuador2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_ecuador2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_ecuador2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_elsalvador2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_elsalvador2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_elsalvador2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_grenada2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_grenada2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_guatemala2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_guatemala2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_guatemala2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_guyana2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_haiti2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_haiti2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_honduras2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_honduras2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_honduras2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_jamaica2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_jamaica2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_jamaica2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_mexico2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_mexico2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_mexico2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_nicaragua2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_panama2018,corrupt_gov4a,exc7,c(1:4),"Taking into account your own experience or what you have heard, corruption among public officials is",1 very common / 2 common / 3 uncommon / 4 very uncommon,corrupt
amb_panama2018,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_panama2018,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_panama2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_panama2023,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
amb_panama2023,care7,eff1,c(1:7),Those who govern this country are interested in what people like you think ,1 strongly disagree / 23456 / 7 strongly agree,eff
amb_paraguay2021,corrupt_pol5,exc7new,c(5:1),"Thinking about politicians of [COUNTRY], how many to you think are involved in corruption?",1 none / 2 less than half / 3 half of the politicians / 4 more than half / 5 all,corrupt
